landmark_name,image_url,cluster1,cluster2,cluster3
Mulini beach,landmark/Mulini beach/1.jpg,2,0,0
Mulini beach,landmark/Mulini beach/2.jpg,2,2,0
Mulini beach,landmark/Mulini beach/3.jpg,2,2,3
Mulligan's,landmark/Mulligan's/2.jpg,1,0,3
Musee des beaux-arts de Montreal (MBAM),landmark/Musee des beaux-arts de Montreal (MBAM)/1.jpg,1,1,2
Musee des beaux-arts de Montreal (MBAM),landmark/Musee des beaux-arts de Montreal (MBAM)/2.jpg,0,2,0
Musee des beaux-arts de Montreal (MBAM),landmark/Musee des beaux-arts de Montreal (MBAM)/3.jpg,1,1,0
Museet for Samtidskunst,landmark/Museet for Samtidskunst/1.jpg,0,2,3
Museo Inka,landmark/Museo Inka/1.jpg,2,1,3
Muzeum Karlovy Vary,landmark/Muzeum Karlovy Vary/1.jpg,1,3,0
Muzeum Karlovy Vary,landmark/Muzeum Karlovy Vary/3.jpg,2,1,0
Mysore Palace,landmark/Mysore Palace/1.jpg,3,1,2
Mysore Palace,landmark/Mysore Palace/2.jpg,3,3,0
Nenea Iancu,landmark/Nenea Iancu/1.jpg,1,1,0
Nenea Iancu,landmark/Nenea Iancu/2.jpg,3,1,1
Nenea Iancu,landmark/Nenea Iancu/3.jpg,3,0,1
Niagara Falls (American Side),landmark/Niagara Falls (American Side)/1.jpg,0,1,2
Niagara Falls (American Side),landmark/Niagara Falls (American Side)/2.jpg,2,2,2
Niagara Falls (American Side),landmark/Niagara Falls (American Side)/3.jpg,0,3,0
Nikki Beach,landmark/Nikki Beach/1.jpg,2,2,2
Nikki Beach,landmark/Nikki Beach/2.jpg,2,3,2
Nikki Beach,landmark/Nikki Beach/3.jpg,0,1,1
Noel,landmark/Noel/1.jpg,1,2,1
Norrmalmstorg,landmark/Norrmalmstorg/1.jpg,2,1,2
Norrmalmstorg,landmark/Norrmalmstorg/2.jpg,1,3,0
Norrmalmstorg,landmark/Norrmalmstorg/3.jpg,1,2,1
Nybroplan,landmark/Nybroplan/1.jpg,3,0,3
Nybroplan,landmark/Nybroplan/2.jpg,2,2,2
Nybroplan,landmark/Nybroplan/3.jpg,3,0,2
O'Connell's,landmark/O'Connell's/2.jpg,2,3,3
Observation Deck,landmark/Observation Deck/1.jpg,0,3,1
Observation Deck,landmark/Observation Deck/3.jpg,0,1,2
Ocheuteal Beach-Otres Beach,landmark/Ocheuteal Beach-Otres Beach/1.jpg,0,3,1
Ocheuteal Beach-Otres Beach,landmark/Ocheuteal Beach-Otres Beach/2.jpg,2,2,3
Ocheuteal Beach-Otres Beach,landmark/Ocheuteal Beach-Otres Beach/3.jpg,0,0,0
Oinoscent,landmark/Oinoscent/1.jpg,3,2,0
Oinoscent,landmark/Oinoscent/2.jpg,3,2,0
Oinoscent,landmark/Oinoscent/3.jpg,3,1,0
Once Upon a Time Biblioteka,landmark/Once Upon a Time Biblioteka/1.jpg,3,0,2
Once Upon a Time Biblioteka,landmark/Once Upon a Time Biblioteka/2.jpg,1,2,3
Once Upon a Time Biblioteka,landmark/Once Upon a Time Biblioteka/3.jpg,1,2,2
Onda Restaurant,landmark/Onda Restaurant/1.jpg,1,3,2
Onda Restaurant,landmark/Onda Restaurant/2.jpg,2,1,2
Orloj,landmark/Orloj/2.jpg,1,1,1
Paradisbukta,landmark/Paradisbukta/1.jpg,0,3,2
Paradisbukta,landmark/Paradisbukta/2.jpg,1,3,0
Paradisbukta,landmark/Paradisbukta/3.jpg,2,2,3
Parc Jarry,landmark/Parc Jarry/1.jpg,3,0,3
Parc Jarry,landmark/Parc Jarry/2.jpg,3,1,3
Parc Jarry,landmark/Parc Jarry/3.jpg,1,3,3
Park Way,landmark/Park Way/1.jpg,1,0,1
Park Way,landmark/Park Way/2.jpg,3,0,3
Park Way,landmark/Park Way/3.jpg,1,2,0
Parque Ingles,landmark/Parque Ingles/1.jpg,2,3,0
Parque Ingles,landmark/Parque Ingles/2.jpg,0,0,1
Parque Ingles,landmark/Parque Ingles/3.jpg,0,2,2
Parque Las Cuadras,landmark/Parque Las Cuadras/1.jpg,0,2,0
Parque Las Cuadras,landmark/Parque Las Cuadras/2.jpg,0,2,0
Parque Las Cuadras,landmark/Parque Las Cuadras/3.jpg,0,3,2
Parque Metropolitano Simon Bolivar,landmark/Parque Metropolitano Simon Bolivar/1.jpg,2,3,2
